Year,Precipitation_inch,Precipitation_mm
1895,5.86,148.84
1896,0.24,6.10
1897,13.62,345.95
1898,3.94,100.08
1899,0.65,16.51
1900,1.82,46.23
1901,10.18,258.57
1902,10.26,260.60
1903,2.66,67.56
1904,18.38,466.85
1905,4.62,117.35
1906,6.29,159.77
1907,5.29,134.37
1908,4.95,125.73
1909,7.4,187.96
1910,3.05,77.47
1911,7.26,184.40
1912,0.09,2.29
1913,1.96,49.78
1914,8.02,203.71
1915,12.78,324.61
1916,3.77,95.76
1917,8.19,208.03
1918,11.62,295.15
1919,11.26,286.00
1920,2.75,69.85
1921,2.1,53.34
1922,12.82,325.63
1923,1.66,42.16
1924,1.06,26.92
1925,12.75,323.85
1926,7.96,202.18
1927,9.42,239.27
1928,1.32,33.53
1929,4.01,101.85
1930,4.86,123.44
1931,2.3,58.42
1932,7.12,180.85
1933,1.01,25.65
1934,3.1,78.74
1935,2.56,65.02
1936,19.35,491.49
1937,11.83,300.48
1938,15.28,388.11
1939,3.38,85.85
1940,9.82,249.43
1941,5.93,150.62
1942,3.65,92.71
1943,3.52,89.41
1944,6.61,167.89
1945,10.07,255.78
1946,2.19,55.63
1947,2.78,70.61
1948,3.69,93.73
1949,3.68,93.47
1950,3.33,84.58
1951,3,76.20
1952,4.21,106.93
1953,0.64,16.26
1954,5.53,140.46
1955,3.02,76.71
1956,3.29,83.57
1957,5.83,148.08
1958,9.08,230.63
1959,8.33,211.58
1960,8.25,209.55
1961,2.85,72.39
1962,15.76,400.30
1963,6.54,166.12
1964,0.28,7.11
1965,1.49,37.85
1966,2.04,51.82
1967,0.42,10.67
1968,4.15,105.41
1969,10.16,258.06
1970,3.13,79.50
1971,1.15,29.21
1972,1.97,50.04
1973,7.25,184.15
1974,1.58,40.13
1975,8.49,215.65
1976,3.57,90.68
1977,2.15,54.61
1978,6.67,169.42
1979,7.33,186.18
1980,10.35,262.89
1981,2.69,68.33
1982,6.28,159.51
1983,9.56,242.82
1984,4.63,117.60
1985,3.67,93.22
1986,18.8,477.52
1987,4.95,125.73
1988,0.42,10.67
1989,3.31,84.07
1990,4.22,107.19
1991,1.57,39.88
1992,5.34,135.64
1993,7.38,187.45
1994,7.01,178.05
1995,1.3,33.02
1996,10.15,257.81
1997,0.86,21.84
1998,12.97,329.44
1999,9.92,251.97
2000,9.57,243.08
2001,5.3,134.62
2002,1.89,48.01
2003,2.17,55.12
2004,7.48,189.99
2005,4.32,109.73
2006,4.78,121.41
2007,7.5,190.50
2008,5.71,145.03
2009,5.7,144.78
2010,4.71,119.63
2011,6.5,165.10
2012,1.82,46.23
2013,0.37,9.40
2014,8.22,208.79
2015,5.53,140.46
2016,1.82,46.23
2017,15.58,395.73
2018,1.56,39.62
2019,15.25,387.35
2020,0.25,6.35
2021,2.2,55.88
2022,0.65,16.51
