agenc,y_cd       site_,no peak_dt peak_tm,peak_va,Month,Day,Year,Date
USGS,1303500,4/4/51,35,4,4,51,04/04/1951
USGS,1303500,8/23/52,37,8,23,52,08/23/1952
USGS,1303500,7/2/53,16,7,2,53,07/02/1953
USGS,1303500,9/11/54,79,9,11,54,09/11/1954
USGS,1303500,8/12/55,46,8,12,55,08/12/1955
USGS,1303500,8/10/56,31,8,10,56,08/10/1956
USGS,1303500,5/4/57,17,5,4,57,05/04/1957
USGS,1303500,7/6/58,64,7,6,58,07/06/1958
USGS,1303500,3/6/59,49,3,6,59,03/06/1959
USGS,1303500,3/14/60,31,3,14,60,03/14/1960
USGS,1303500,2/7/61,37,2,7,61,02/07/1961
USGS,1303500,2/26/62,57,2,26,62,02/26/1962
USGS,1303500,3/6/63,77,3,6,63,03/06/1963
USGS,1303500,11/7/63,14,11,7,63,11/07/1963
USGS,1303500,4/19/65,13,4,19,65,04/19/1965
USGS,1303500,2/14/66,5.6,2,14,66,02/14/1966
USGS,1303500,7/9/67,1.4,7,9,67,07/09/1967
USGS,1303500,11/11/67,24,11,11,67,11/11/1967
USGS,1303500,9/9/69,40,9,9,69,09/09/1969
USGS,1303500,9/1/70,39,9,1,70,09/01/1970
USGS,1303500,2/8/71,61,2,8,71,02/08/1971
USGS,1303500,9/19/72,8.8,9,19,72,09/19/1972
USGS,1303500,10/7/72,47,10,7,72,10/07/1972
USGS,1303500,3/21/74,16,3,21,74,03/21/1974
USGS,1303500,9/24/75,22,9,24,75,09/24/1975
USGS,1303500,8/10/76,39,8,10,76,08/10/1976
USGS,1303500,8/5/77,19,8,5,77,08/05/1977
USGS,1303500,8/12/78,147,8,12,78,08/12/1978
USGS,1303500,1/21/79,181,1,21,79,01/21/1979
USGS,1303500,4/10/80,76,4,10,80,04/10/1980
USGS,1303500,11/8/80,12,11,8,80,11/08/1980
USGS,1303500,11/16/81,74,11,16,81,11/16/1981
USGS,1303500,4/16/83,33,4,16,83,04/16/1983
USGS,1303500,11/25/83,74,11,25,83,11/25/1983
USGS,1303500,9/27/85,,9,27,85,09/27/1985
USGS,1303500,11/17/85,12,11,17,85,11/17/1985
USGS,1303500,3/1/87,16,3,1,87,03/01/1987
USGS,1303500,2/12/88,6,2,12,88,02/12/1988
USGS,1303500,5/17/89,22,5,17,89,05/17/1989
USGS,1303500,8/24/90,33,8,24,90,08/24/1990
USGS,1303500,8/19/91,117,8,19,91,08/19/1991
USGS,1303500,8/18/92,18,8,18,92,08/18/1992
USGS,1303500,4/1/93,9.8,4,1,93,04/01/1993
USGS,1303500,1/28/94,58,1,28,94,01/28/1994
USGS,1303500,7/18/95,28,7,18,95,07/18/1995
USGS,1303500,4/16/96,22,4,16,96,04/16/1996
USGS,1303500,10/19/96,20,10,19,96,10/19/1996
USGS,1303500,1/24/98,34,1,24,98,01/24/1998
USGS,1303500,1/3/99,88,1,3,99,01/03/1999
USGS,1303500,4/21/00,36,4,21,0,04/21/2000
USGS,1303500,8/13/01,22,8,13,1,08/13/2001
USGS,1303500,6/6/02,114,6,6,2,06/06/2002
USGS,1303500,11/6/02,21,11,6,2,11/06/2002
USGS,1303500,9/8/04,26,9,8,4,09/08/2004
USGS,1303500,7/18/05,36,7,18,5,07/18/2005
USGS,1303500,10/12/05,147,10,12,5,10/12/2005
USGS,1303500,3/2/07,144,3,2,7,03/02/2007
USGS,1303500,3/7/08,38,3,7,8,03/07/2008
USGS,1303500,12/12/08,36,12,12,8,12/12/2008
USGS,1303500,3/30/10,51,3,30,10,03/30/2010
USGS,1303500,8/28/11,73,8,28,11,08/28/2011
USGS,1303500,6/2/12,26,6,2,12,06/02/2012
USGS,1303500,6/7/13,49,6,7,13,06/07/2013
USGS,1303500,8/13/14,47,8,13,14,08/13/2014
USGS,1303500,12/9/14,33,12,9,14,12/09/2014
USGS,1303500,1/10/16,8.5,1,10,16,01/10/2016
USGS,1303500,5/5/17,17:15   10.6,5,5,17,05/05/2017
USGS,1303500,10/30/17,16,10,30,17,10/30/2017
USGS,1303500,7/22/19,22:15   29.2,7,22,19,07/22/2019
USGS,1303500,12/14/19,07:15   31.3,12,14,19,12/14/2019
