NY_MeanDailyDischarge,,,,,,,
agency_,cd       site_no,datetime,104599_00060_00003,104599_00060_00003_cd,Month,Day ,Year
USGS,1303500,7/1/50,2.58,A,7,1,50
USGS,1303500,7/2/50,2.66,A,7,2,50
USGS,1303500,7/3/50,2.68,A,7,3,50
USGS,1303500,7/4/50,2.97,A,7,4,50
USGS,1303500,7/5/50,3.04,A,7,5,50
USGS,1303500,7/6/50,3.6,A,7,6,50
USGS,1303500,7/7/50,3.06,A,7,7,50
USGS,1303500,7/8/50,2.81,A,7,8,50
USGS,1303500,7/9/50,2.62,A,7,9,50
USGS,1303500,7/10/50,2.93,A,7,10,50
USGS,1303500,7/11/50,3.18,A,7,11,50
USGS,1303500,7/12/50,2.93,A,7,12,50
USGS,1303500,7/13/50,2.77,A,7,13,50
USGS,1303500,7/14/50,2.73,A,7,14,50
USGS,1303500,7/15/50,2.88,A,7,15,50
USGS,1303500,7/16/50,3.13,A,7,16,50
USGS,1303500,7/17/50,3.93,A,7,17,50
USGS,1303500,7/18/50,3.62,A,7,18,50
USGS,1303500,7/19/50,3.78,A,7,19,50
USGS,1303500,7/20/50,3.42,A,7,20,50
USGS,1303500,7/21/50,3.38,A,7,21,50
USGS,1303500,7/22/50,3.13,A,7,22,50
USGS,1303500,7/23/50,2.95,A,7,23,50
USGS,1303500,7/24/50,2.88,A,7,24,50
USGS,1303500,7/25/50,2.9,A,7,25,50
USGS,1303500,7/26/50,2.9,A,7,26,50
USGS,1303500,7/27/50,2.88,A,7,27,50
USGS,1303500,7/28/50,2.86,A,7,28,50
USGS,1303500,7/29/50,2.84,A,7,29,50
USGS,1303500,7/30/50,2.73,A,7,30,50
USGS,1303500,7/31/50,2.62,A,7,31,50
USGS,1303500,8/1/50,2.6,A,8,1,50
USGS,1303500,8/2/50,2.6,A,8,2,50
USGS,1303500,8/3/50,3.26,A,8,3,50
USGS,1303500,8/4/50,3.6,A,8,4,50
USGS,1303500,8/5/50,3.04,A,8,5,50
USGS,1303500,8/6/50,2.73,A,8,6,50
USGS,1303500,8/7/50,2.58,A,8,7,50
USGS,1303500,8/8/50,2.43,A,8,8,50
USGS,1303500,8/9/50,2.35,A,8,9,50
USGS,1303500,8/10/50,2.29,A,8,10,50
USGS,1303500,8/11/50,2.3,A,8,11,50
USGS,1303500,8/12/50,2.28,A,8,12,50
USGS,1303500,8/13/50,2.24,A,8,13,50
USGS,1303500,8/14/50,2.14,A,8,14,50
USGS,1303500,8/15/50,2.04,A,8,15,50
USGS,1303500,8/16/50,1.94,A,8,16,50
USGS,1303500,8/17/50,1.92,A,8,17,50
USGS,1303500,8/18/50,1.94,A,8,18,50
USGS,1303500,8/19/50,1.9,A,8,19,50
USGS,1303500,8/20/50,3.35,A,8,20,50
USGS,1303500,8/21/50,3.95,A,8,21,50
USGS,1303500,8/22/50,3.1,A,8,22,50
USGS,1303500,8/23/50,2.75,A,8,23,50
USGS,1303500,8/24/50,2.5,A,8,24,50
USGS,1303500,8/25/50,2.46,A,8,25,50
USGS,1303500,8/26/50,2.3,A,8,26,50
USGS,1303500,8/27/50,2.22,A,8,27,50
USGS,1303500,8/28/50,2.04,A,8,28,50
USGS,1303500,8/29/50,1.92,A,8,29,50
USGS,1303500,8/30/50,2.04,A,8,30,50
USGS,1303500,8/31/50,2.2,A,8,31,50
USGS,1303500,9/1/50,2.18,A,9,1,50
USGS,1303500,9/2/50,2.12,A,9,2,50
USGS,1303500,9/3/50,2.14,A,9,3,50
USGS,1303500,9/4/50,2.18,A,9,4,50
USGS,1303500,9/5/50,2.08,A,9,5,50
USGS,1303500,9/6/50,1.98,A,9,6,50
USGS,1303500,9/7/50,1.92,A,9,7,50
USGS,1303500,9/8/50,1.88,A,9,8,50
USGS,1303500,9/9/50,2,A,9,9,50
USGS,1303500,9/10/50,2.32,A,9,10,50
USGS,1303500,9/11/50,2.42,A,9,11,50
USGS,1303500,9/12/50,2.44,A,9,12,50
USGS,1303500,9/13/50,2.12,A,9,13,50
USGS,1303500,9/14/50,2.4,A,9,14,50
USGS,1303500,9/15/50,3.45,A,9,15,50
USGS,1303500,9/16/50,4.25,A,9,16,50
USGS,1303500,9/17/50,1.68,A,9,17,50
USGS,1303500,9/18/50,1.38,A,9,18,50
USGS,1303500,9/19/50,1.32,A,9,19,50
USGS,1303500,9/20/50,1.28,A,9,20,50
USGS,1303500,9/21/50,1.28,A,9,21,50
USGS,1303500,9/22/50,1.28,A,9,22,50
USGS,1303500,9/23/50,1.16,A,9,23,50
USGS,1303500,9/24/50,1.14,A,9,24,50
USGS,1303500,9/25/50,1.1,A,9,25,50
USGS,1303500,9/26/50,1.08,A,9,26,50
USGS,1303500,9/27/50,1.05,A,9,27,50
USGS,1303500,9/28/50,1.02,A,9,28,50
USGS,1303500,9/29/50,1.02,A,9,29,50
USGS,1303500,9/30/50,1.01,A,9,30,50
USGS,1303500,10/1/50,0.98,A,10,1,50
USGS,1303500,10/2/50,0.86,A,10,2,50
USGS,1303500,10/3/50,0.85,A,10,3,50
USGS,1303500,10/4/50,0.86,A,10,4,50
USGS,1303500,10/5/50,0.84,A,10,5,50
USGS,1303500,10/6/50,0.75,A,10,6,50
USGS,1303500,10/7/50,0.73,A,10,7,50
USGS,1303500,10/8/50,0.7,A,10,8,50
USGS,1303500,10/9/50,0.69,A,10,9,50
USGS,1303500,10/10/50,0.72,A,10,10,50
USGS,1303500,10/11/50,0.66,A,10,11,50
USGS,1303500,10/12/50,0.67,A,10,12,50
USGS,1303500,10/13/50,1,A,10,13,50
USGS,1303500,10/14/50,0.99,A,10,14,50
USGS,1303500,10/15/50,0.84,A,10,15,50
USGS,1303500,10/16/50,0.83,A,10,16,50
USGS,1303500,10/17/50,0.88,A,10,17,50
USGS,1303500,10/18/50,0.73,A,10,18,50
USGS,1303500,10/19/50,0.65,A,10,19,50
USGS,1303500,10/20/50,0.69,A,10,20,50
USGS,1303500,10/21/50,0.75,A,10,21,50
USGS,1303500,10/22/50,0.8,A,10,22,50
USGS,1303500,10/23/50,0.83,A,10,23,50
USGS,1303500,10/24/50,0.84,A,10,24,50
USGS,1303500,10/25/50,0.8,A,10,25,50
USGS,1303500,10/26/50,0.7,A,10,26,50
USGS,1303500,10/27/50,0.68,A,10,27,50
USGS,1303500,10/28/50,0.73,A,10,28,50
USGS,1303500,10/29/50,0.73,A,10,29,50
USGS,1303500,10/30/50,0.64,A,10,30,50
USGS,1303500,10/31/50,0.6,A,10,31,50
USGS,1303500,11/1/50,0.64,A,11,1,50
USGS,1303500,11/2/50,0.71,A,11,2,50
USGS,1303500,11/3/50,0.75,A,11,3,50
USGS,1303500,11/4/50,1.2,A,11,4,50
USGS,1303500,11/5/50,1.52,A,11,5,50
USGS,1303500,11/6/50,1.1,A,11,6,50
USGS,1303500,11/7/50,0.93,A,11,7,50
USGS,1303500,11/8/50,0.83,A,11,8,50
USGS,1303500,11/9/50,0.84,A,11,9,50
USGS,1303500,11/10/50,0.82,A,11,10,50
USGS,1303500,11/11/50,0.78,A,11,11,50
USGS,1303500,11/12/50,0.78,A,11,12,50
USGS,1303500,11/13/50,0.78,A,11,13,50
USGS,1303500,11/14/50,0.72,A,11,14,50
USGS,1303500,11/15/50,0.71,A,11,15,50
USGS,1303500,11/16/50,0.75,A,11,16,50
USGS,1303500,11/17/50,0.75,A,11,17,50
USGS,1303500,11/18/50,0.74,A,11,18,50
USGS,1303500,11/19/50,0.78,A,11,19,50
USGS,1303500,11/20/50,1.08,A,11,20,50
USGS,1303500,11/21/50,1.52,A,11,21,50
USGS,1303500,11/22/50,1.14,A,11,22,50
USGS,1303500,11/23/50,0.91,A,11,23,50
USGS,1303500,11/24/50,0.83,A,11,24,50
USGS,1303500,11/25/50,2.02,A,11,25,50
USGS,1303500,11/26/50,2.14,A,11,26,50
USGS,1303500,11/27/50,1.36,A,11,27,50
USGS,1303500,11/28/50,1.17,A,11,28,50
USGS,1303500,11/29/50,1.06,A,11,29,50
USGS,1303500,11/30/50,0.96,A,11,30,50
USGS,1303500,12/1/50,0.86,A,12,1,50
USGS,1303500,12/2/50,0.84,A,12,2,50
USGS,1303500,12/3/50,0.84,A,12,3,50
USGS,1303500,12/4/50,1.36,A,12,4,50
USGS,1303500,12/5/50,1.26,A,12,5,50
USGS,1303500,12/6/50,1.06,A,12,6,50
USGS,1303500,12/7/50,1.08,A,12,7,50
USGS,1303500,12/8/50,1.68,A,12,8,50
USGS,1303500,12/9/50,1.5,A,12,9,50
USGS,1303500,12/10/50,1.16,A,12,10,50
USGS,1303500,12/11/50,1.28,A,12,11,50
USGS,1303500,12/12/50,1.08,A,12,12,50
USGS,1303500,12/13/50,0.9,A,12,13,50
USGS,1303500,12/14/50,0.81,A,12,14,50
USGS,1303500,12/15/50,0.89,A,12,15,50
USGS,1303500,12/16/50,2.38,A,12,16,50
USGS,1303500,12/17/50,1.66,A,12,17,50
USGS,1303500,12/18/50,1.19,A,12,18,50
USGS,1303500,12/19/50,1,A,12,19,50
USGS,1303500,12/20/50,0.95,A,12,20,50
USGS,1303500,12/21/50,0.91,A,12,21,50
USGS,1303500,12/22/50,0.9,A,12,22,50
USGS,1303500,12/23/50,0.94,A,12,23,50
USGS,1303500,12/24/50,0.96,A,12,24,50
USGS,1303500,12/25/50,0.96,A,12,25,50
USGS,1303500,12/26/50,0.95,A,12,26,50
USGS,1303500,12/27/50,1,A,12,27,50
USGS,1303500,12/28/50,0.93,A,12,28,50
USGS,1303500,12/29/50,1.71,A,12,29,50
USGS,1303500,12/30/50,1.79,A,12,30,50
USGS,1303500,12/31/50,1.61,A,12,31,50
USGS,1303500,1/1/51,1.3,A,1,1,51
USGS,1303500,1/2/51,1.35,A,1,2,51
USGS,1303500,1/3/51,1.83,A,1,3,51
USGS,1303500,1/4/51,1.54,A,1,4,51
USGS,1303500,1/5/51,1.27,A,1,5,51
USGS,1303500,1/6/51,1.12,A,1,6,51
USGS,1303500,1/7/51,1.24,A,1,7,51
USGS,1303500,1/8/51,1.4,A,1,8,51
USGS,1303500,1/9/51,1.21,A,1,9,51
USGS,1303500,1/10/51,1.13,A,1,10,51
USGS,1303500,1/11/51,1.11,A,1,11,51
USGS,1303500,1/12/51,1.21,A,1,12,51
USGS,1303500,1/13/51,1.26,A,1,13,51
USGS,1303500,1/14/51,1.44,A,1,14,51
USGS,1303500,1/15/51,2.18,A,1,15,51
USGS,1303500,1/16/51,1.64,A,1,16,51
USGS,1303500,1/17/51,1.44,A,1,17,51
USGS,1303500,1/18/51,1.39,A,1,18,51
USGS,1303500,1/19/51,1.32,A,1,19,51
USGS,1303500,1/20/51,1.32,A,1,20,51
USGS,1303500,1/21/51,1.39,A,1,21,51
USGS,1303500,1/22/51,1.28,A,1,22,51
USGS,1303500,1/23/51,1.3,A,1,23,51
USGS,1303500,1/24/51,2.34,A,1,24,51
USGS,1303500,1/25/51,2.14,A,1,25,51
USGS,1303500,1/26/51,1.75,A,1,26,51
USGS,1303500,1/27/51,1.54,A,1,27,51
USGS,1303500,1/28/51,1.51,A,1,28,51
USGS,1303500,1/29/51,1.6,A,1,29,51
USGS,1303500,1/30/51,1.58,A,1,30,51
USGS,1303500,1/31/51,1.66,A,1,31,51
USGS,1303500,2/1/51,2.12,A,2,1,51
USGS,1303500,2/2/51,1.99,A,2,2,51
USGS,1303500,2/3/51,1.68,A,2,3,51
