agency_,cd       site_no,datetime,104599_00060_00003,104599_00060_00003_cd,Month,Day ,Year,Date
USGS,1303500,7/1/50,2.58,A,7,1,50,07/01/1950
USGS,1303500,7/2/50,2.66,A,7,2,50,07/02/1950
USGS,1303500,7/3/50,2.68,A,7,3,50,07/03/1950
USGS,1303500,7/4/50,2.97,A,7,4,50,07/04/1950
USGS,1303500,7/5/50,3.04,A,7,5,50,07/05/1950
USGS,1303500,7/6/50,3.6,A,7,6,50,07/06/1950
USGS,1303500,7/7/50,3.06,A,7,7,50,07/07/1950
USGS,1303500,7/8/50,2.81,A,7,8,50,07/08/1950
USGS,1303500,7/9/50,2.62,A,7,9,50,07/09/1950
USGS,1303500,7/10/50,2.93,A,7,10,50,07/10/1950
USGS,1303500,7/11/50,3.18,A,7,11,50,07/11/1950
USGS,1303500,7/12/50,2.93,A,7,12,50,07/12/1950
USGS,1303500,7/13/50,2.77,A,7,13,50,07/13/1950
USGS,1303500,7/14/50,2.73,A,7,14,50,07/14/1950
USGS,1303500,7/15/50,2.88,A,7,15,50,07/15/1950
USGS,1303500,7/16/50,3.13,A,7,16,50,07/16/1950
USGS,1303500,7/17/50,3.93,A,7,17,50,07/17/1950
USGS,1303500,7/18/50,3.62,A,7,18,50,07/18/1950
USGS,1303500,7/19/50,3.78,A,7,19,50,07/19/1950
USGS,1303500,7/20/50,3.42,A,7,20,50,07/20/1950
USGS,1303500,7/21/50,3.38,A,7,21,50,07/21/1950
USGS,1303500,7/22/50,3.13,A,7,22,50,07/22/1950
USGS,1303500,7/23/50,2.95,A,7,23,50,07/23/1950
USGS,1303500,7/24/50,2.88,A,7,24,50,07/24/1950
USGS,1303500,7/25/50,2.9,A,7,25,50,07/25/1950
USGS,1303500,7/26/50,2.9,A,7,26,50,07/26/1950
USGS,1303500,7/27/50,2.88,A,7,27,50,07/27/1950
USGS,1303500,7/28/50,2.86,A,7,28,50,07/28/1950
USGS,1303500,7/29/50,2.84,A,7,29,50,07/29/1950
USGS,1303500,7/30/50,2.73,A,7,30,50,07/30/1950
USGS,1303500,7/31/50,2.62,A,7,31,50,07/31/1950
USGS,1303500,8/1/50,2.6,A,8,1,50,08/01/1950
USGS,1303500,8/2/50,2.6,A,8,2,50,08/02/1950
USGS,1303500,8/3/50,3.26,A,8,3,50,08/03/1950
USGS,1303500,8/4/50,3.6,A,8,4,50,08/04/1950
USGS,1303500,8/5/50,3.04,A,8,5,50,08/05/1950
USGS,1303500,8/6/50,2.73,A,8,6,50,08/06/1950
USGS,1303500,8/7/50,2.58,A,8,7,50,08/07/1950
USGS,1303500,8/8/50,2.43,A,8,8,50,08/08/1950
USGS,1303500,8/9/50,2.35,A,8,9,50,08/09/1950
USGS,1303500,8/10/50,2.29,A,8,10,50,08/10/1950
USGS,1303500,8/11/50,2.3,A,8,11,50,08/11/1950
USGS,1303500,8/12/50,2.28,A,8,12,50,08/12/1950
USGS,1303500,8/13/50,2.24,A,8,13,50,08/13/1950
USGS,1303500,8/14/50,2.14,A,8,14,50,08/14/1950
USGS,1303500,8/15/50,2.04,A,8,15,50,08/15/1950
USGS,1303500,8/16/50,1.94,A,8,16,50,08/16/1950
USGS,1303500,8/17/50,1.92,A,8,17,50,08/17/1950
USGS,1303500,8/18/50,1.94,A,8,18,50,08/18/1950
USGS,1303500,8/19/50,1.9,A,8,19,50,08/19/1950
USGS,1303500,8/20/50,3.35,A,8,20,50,08/20/1950
USGS,1303500,8/21/50,3.95,A,8,21,50,08/21/1950
USGS,1303500,8/22/50,3.1,A,8,22,50,08/22/1950
USGS,1303500,8/23/50,2.75,A,8,23,50,08/23/1950
USGS,1303500,8/24/50,2.5,A,8,24,50,08/24/1950
USGS,1303500,8/25/50,2.46,A,8,25,50,08/25/1950
USGS,1303500,8/26/50,2.3,A,8,26,50,08/26/1950
USGS,1303500,8/27/50,2.22,A,8,27,50,08/27/1950
USGS,1303500,8/28/50,2.04,A,8,28,50,08/28/1950
USGS,1303500,8/29/50,1.92,A,8,29,50,08/29/1950
USGS,1303500,8/30/50,2.04,A,8,30,50,08/30/1950
USGS,1303500,8/31/50,2.2,A,8,31,50,08/31/1950
USGS,1303500,9/1/50,2.18,A,9,1,50,09/01/1950
USGS,1303500,9/2/50,2.12,A,9,2,50,09/02/1950
USGS,1303500,9/3/50,2.14,A,9,3,50,09/03/1950
USGS,1303500,9/4/50,2.18,A,9,4,50,09/04/1950
USGS,1303500,9/5/50,2.08,A,9,5,50,09/05/1950
USGS,1303500,9/6/50,1.98,A,9,6,50,09/06/1950
USGS,1303500,9/7/50,1.92,A,9,7,50,09/07/1950
USGS,1303500,9/8/50,1.88,A,9,8,50,09/08/1950
USGS,1303500,9/9/50,2,A,9,9,50,09/09/1950
USGS,1303500,9/10/50,2.32,A,9,10,50,09/10/1950
USGS,1303500,9/11/50,2.42,A,9,11,50,09/11/1950
USGS,1303500,9/12/50,2.44,A,9,12,50,09/12/1950
USGS,1303500,9/13/50,2.12,A,9,13,50,09/13/1950
USGS,1303500,9/14/50,2.4,A,9,14,50,09/14/1950
USGS,1303500,9/15/50,3.45,A,9,15,50,09/15/1950
USGS,1303500,9/16/50,4.25,A,9,16,50,09/16/1950
USGS,1303500,9/17/50,1.68,A,9,17,50,09/17/1950
USGS,1303500,9/18/50,1.38,A,9,18,50,09/18/1950
USGS,1303500,9/19/50,1.32,A,9,19,50,09/19/1950
USGS,1303500,9/20/50,1.28,A,9,20,50,09/20/1950
USGS,1303500,9/21/50,1.28,A,9,21,50,09/21/1950
USGS,1303500,9/22/50,1.28,A,9,22,50,09/22/1950
USGS,1303500,9/23/50,1.16,A,9,23,50,09/23/1950
USGS,1303500,9/24/50,1.14,A,9,24,50,09/24/1950
USGS,1303500,9/25/50,1.1,A,9,25,50,09/25/1950
USGS,1303500,9/26/50,1.08,A,9,26,50,09/26/1950
USGS,1303500,9/27/50,1.05,A,9,27,50,09/27/1950
USGS,1303500,9/28/50,1.02,A,9,28,50,09/28/1950
USGS,1303500,9/29/50,1.02,A,9,29,50,09/29/1950
USGS,1303500,9/30/50,1.01,A,9,30,50,09/30/1950
USGS,1303500,10/1/50,0.98,A,10,1,50,10/01/1950
USGS,1303500,10/2/50,0.86,A,10,2,50,10/02/1950
USGS,1303500,10/3/50,0.85,A,10,3,50,10/03/1950
USGS,1303500,10/4/50,0.86,A,10,4,50,10/04/1950
USGS,1303500,10/5/50,0.84,A,10,5,50,10/05/1950
USGS,1303500,10/6/50,0.75,A,10,6,50,10/06/1950
USGS,1303500,10/7/50,0.73,A,10,7,50,10/07/1950
USGS,1303500,10/8/50,0.7,A,10,8,50,10/08/1950
USGS,1303500,10/9/50,0.69,A,10,9,50,10/09/1950
USGS,1303500,10/10/50,0.72,A,10,10,50,10/10/1950
USGS,1303500,10/11/50,0.66,A,10,11,50,10/11/1950
USGS,1303500,10/12/50,0.67,A,10,12,50,10/12/1950
USGS,1303500,10/13/50,1,A,10,13,50,10/13/1950
USGS,1303500,10/14/50,0.99,A,10,14,50,10/14/1950
USGS,1303500,10/15/50,0.84,A,10,15,50,10/15/1950
USGS,1303500,10/16/50,0.83,A,10,16,50,10/16/1950
USGS,1303500,10/17/50,0.88,A,10,17,50,10/17/1950
USGS,1303500,10/18/50,0.73,A,10,18,50,10/18/1950
USGS,1303500,10/19/50,0.65,A,10,19,50,10/19/1950
USGS,1303500,10/20/50,0.69,A,10,20,50,10/20/1950
USGS,1303500,10/21/50,0.75,A,10,21,50,10/21/1950
USGS,1303500,10/22/50,0.8,A,10,22,50,10/22/1950
USGS,1303500,10/23/50,0.83,A,10,23,50,10/23/1950
USGS,1303500,10/24/50,0.84,A,10,24,50,10/24/1950
USGS,1303500,10/25/50,0.8,A,10,25,50,10/25/1950
USGS,1303500,10/26/50,0.7,A,10,26,50,10/26/1950
USGS,1303500,10/27/50,0.68,A,10,27,50,10/27/1950
USGS,1303500,10/28/50,0.73,A,10,28,50,10/28/1950
USGS,1303500,10/29/50,0.73,A,10,29,50,10/29/1950
USGS,1303500,10/30/50,0.64,A,10,30,50,10/30/1950
USGS,1303500,10/31/50,0.6,A,10,31,50,10/31/1950
USGS,1303500,11/1/50,0.64,A,11,1,50,11/01/1950
USGS,1303500,11/2/50,0.71,A,11,2,50,11/02/1950
USGS,1303500,11/3/50,0.75,A,11,3,50,11/03/1950
USGS,1303500,11/4/50,1.2,A,11,4,50,11/04/1950
USGS,1303500,11/5/50,1.52,A,11,5,50,11/05/1950
USGS,1303500,11/6/50,1.1,A,11,6,50,11/06/1950
USGS,1303500,11/7/50,0.93,A,11,7,50,11/07/1950
USGS,1303500,11/8/50,0.83,A,11,8,50,11/08/1950
USGS,1303500,11/9/50,0.84,A,11,9,50,11/09/1950
USGS,1303500,11/10/50,0.82,A,11,10,50,11/10/1950
USGS,1303500,11/11/50,0.78,A,11,11,50,11/11/1950
USGS,1303500,11/12/50,0.78,A,11,12,50,11/12/1950
USGS,1303500,11/13/50,0.78,A,11,13,50,11/13/1950
USGS,1303500,11/14/50,0.72,A,11,14,50,11/14/1950
USGS,1303500,11/15/50,0.71,A,11,15,50,11/15/1950
USGS,1303500,11/16/50,0.75,A,11,16,50,11/16/1950
USGS,1303500,11/17/50,0.75,A,11,17,50,11/17/1950
USGS,1303500,11/18/50,0.74,A,11,18,50,11/18/1950
USGS,1303500,11/19/50,0.78,A,11,19,50,11/19/1950
USGS,1303500,11/20/50,1.08,A,11,20,50,11/20/1950
USGS,1303500,11/21/50,1.52,A,11,21,50,11/21/1950
USGS,1303500,11/22/50,1.14,A,11,22,50,11/22/1950
USGS,1303500,11/23/50,0.91,A,11,23,50,11/23/1950
USGS,1303500,11/24/50,0.83,A,11,24,50,11/24/1950
USGS,1303500,11/25/50,2.02,A,11,25,50,11/25/1950
USGS,1303500,11/26/50,2.14,A,11,26,50,11/26/1950
USGS,1303500,11/27/50,1.36,A,11,27,50,11/27/1950
USGS,1303500,11/28/50,1.17,A,11,28,50,11/28/1950
USGS,1303500,11/29/50,1.06,A,11,29,50,11/29/1950
USGS,1303500,11/30/50,0.96,A,11,30,50,11/30/1950
USGS,1303500,12/1/50,0.86,A,12,1,50,12/01/1950
USGS,1303500,12/2/50,0.84,A,12,2,50,12/02/1950
USGS,1303500,12/3/50,0.84,A,12,3,50,12/03/1950
USGS,1303500,12/4/50,1.36,A,12,4,50,12/04/1950
USGS,1303500,12/5/50,1.26,A,12,5,50,12/05/1950
USGS,1303500,12/6/50,1.06,A,12,6,50,12/06/1950
USGS,1303500,12/7/50,1.08,A,12,7,50,12/07/1950
USGS,1303500,12/8/50,1.68,A,12,8,50,12/08/1950
USGS,1303500,12/9/50,1.5,A,12,9,50,12/09/1950
USGS,1303500,12/10/50,1.16,A,12,10,50,12/10/1950
USGS,1303500,12/11/50,1.28,A,12,11,50,12/11/1950
USGS,1303500,12/12/50,1.08,A,12,12,50,12/12/1950
USGS,1303500,12/13/50,0.9,A,12,13,50,12/13/1950
USGS,1303500,12/14/50,0.81,A,12,14,50,12/14/1950
USGS,1303500,12/15/50,0.89,A,12,15,50,12/15/1950
USGS,1303500,12/16/50,2.38,A,12,16,50,12/16/1950
USGS,1303500,12/17/50,1.66,A,12,17,50,12/17/1950
USGS,1303500,12/18/50,1.19,A,12,18,50,12/18/1950
USGS,1303500,12/19/50,1,A,12,19,50,12/19/1950
USGS,1303500,12/20/50,0.95,A,12,20,50,12/20/1950
USGS,1303500,12/21/50,0.91,A,12,21,50,12/21/1950
USGS,1303500,12/22/50,0.9,A,12,22,50,12/22/1950
USGS,1303500,12/23/50,0.94,A,12,23,50,12/23/1950
USGS,1303500,12/24/50,0.96,A,12,24,50,12/24/1950
USGS,1303500,12/25/50,0.96,A,12,25,50,12/25/1950
USGS,1303500,12/26/50,0.95,A,12,26,50,12/26/1950
USGS,1303500,12/27/50,1,A,12,27,50,12/27/1950
USGS,1303500,12/28/50,0.93,A,12,28,50,12/28/1950
USGS,1303500,12/29/50,1.71,A,12,29,50,12/29/1950
USGS,1303500,12/30/50,1.79,A,12,30,50,12/30/1950
USGS,1303500,12/31/50,1.61,A,12,31,50,12/31/1950
USGS,1303500,1/1/51,1.3,A,1,1,51,01/01/1951
USGS,1303500,1/2/51,1.35,A,1,2,51,01/02/1951
USGS,1303500,1/3/51,1.83,A,1,3,51,01/03/1951
USGS,1303500,1/4/51,1.54,A,1,4,51,01/04/1951
USGS,1303500,1/5/51,1.27,A,1,5,51,01/05/1951
USGS,1303500,1/6/51,1.12,A,1,6,51,01/06/1951
USGS,1303500,1/7/51,1.24,A,1,7,51,01/07/1951
USGS,1303500,1/8/51,1.4,A,1,8,51,01/08/1951
USGS,1303500,1/9/51,1.21,A,1,9,51,01/09/1951
USGS,1303500,1/10/51,1.13,A,1,10,51,01/10/1951
USGS,1303500,1/11/51,1.11,A,1,11,51,01/11/1951
USGS,1303500,1/12/51,1.21,A,1,12,51,01/12/1951
USGS,1303500,1/13/51,1.26,A,1,13,51,01/13/1951
USGS,1303500,1/14/51,1.44,A,1,14,51,01/14/1951
USGS,1303500,1/15/51,2.18,A,1,15,51,01/15/1951
USGS,1303500,1/16/51,1.64,A,1,16,51,01/16/1951
USGS,1303500,1/17/51,1.44,A,1,17,51,01/17/1951
USGS,1303500,1/18/51,1.39,A,1,18,51,01/18/1951
USGS,1303500,1/19/51,1.32,A,1,19,51,01/19/1951
USGS,1303500,1/20/51,1.32,A,1,20,51,01/20/1951
USGS,1303500,1/21/51,1.39,A,1,21,51,01/21/1951
USGS,1303500,1/22/51,1.28,A,1,22,51,01/22/1951
USGS,1303500,1/23/51,1.3,A,1,23,51,01/23/1951
USGS,1303500,1/24/51,2.34,A,1,24,51,01/24/1951
USGS,1303500,1/25/51,2.14,A,1,25,51,01/25/1951
USGS,1303500,1/26/51,1.75,A,1,26,51,01/26/1951
USGS,1303500,1/27/51,1.54,A,1,27,51,01/27/1951
USGS,1303500,1/28/51,1.51,A,1,28,51,01/28/1951
USGS,1303500,1/29/51,1.6,A,1,29,51,01/29/1951
USGS,1303500,1/30/51,1.58,A,1,30,51,01/30/1951
USGS,1303500,1/31/51,1.66,A,1,31,51,01/31/1951
USGS,1303500,2/1/51,2.12,A,2,1,51,02/01/1951
USGS,1303500,2/2/51,1.99,A,2,2,51,02/02/1951
USGS,1303500,2/3/51,1.68,A,2,3,51,02/03/1951
USGS,1303500,2/4/51,1.66,A,2,4,51,02/04/1951
USGS,1303500,2/5/51,1.55,A,2,5,51,02/05/1951
USGS,1303500,2/6/51,1.52,A,2,6,51,02/06/1951
USGS,1303500,2/7/51,2.42,A,2,7,51,02/07/1951
USGS,1303500,2/8/51,3.04,A,2,8,51,02/08/1951
USGS,1303500,2/9/51,1.89,A,2,9,51,02/09/1951
USGS,1303500,2/10/51,1.67,A,2,10,51,02/10/1951
USGS,1303500,2/11/51,1.55,A,2,11,51,02/11/1951
USGS,1303500,2/12/51,1.54,A,2,12,51,02/12/1951
USGS,1303500,2/13/51,1.6,A,2,13,51,02/13/1951
USGS,1303500,2/14/51,1.5,A,2,14,51,02/14/1951
USGS,1303500,2/15/51,1.47,A,2,15,51,02/15/1951
USGS,1303500,2/16/51,1.47,A,2,16,51,02/16/1951
USGS,1303500,2/17/51,1.7,A,2,17,51,02/17/1951
USGS,1303500,2/18/51,2.43,A,2,18,51,02/18/1951
USGS,1303500,2/19/51,1.98,A,2,19,51,02/19/1951
USGS,1303500,2/20/51,1.81,A,2,20,51,02/20/1951
USGS,1303500,2/21/51,1.9,A,2,21,51,02/21/1951
USGS,1303500,2/22/51,3,A,2,22,51,02/22/1951
USGS,1303500,2/23/51,1.92,A,2,23,51,02/23/1951
USGS,1303500,2/24/51,1.39,A,2,24,51,02/24/1951
USGS,1303500,2/25/51,1.27,A,2,25,51,02/25/1951
USGS,1303500,2/26/51,1.28,A,2,26,51,02/26/1951
USGS,1303500,2/27/51,1.23,A,2,27,51,02/27/1951
USGS,1303500,2/28/51,1.18,A,2,28,51,02/28/1951
USGS,1303500,3/1/51,1.21,A,3,1,51,03/01/1951
USGS,1303500,3/2/51,1.3,A,3,2,51,03/02/1951
USGS,1303500,3/3/51,1.32,A,3,3,51,03/03/1951
USGS,1303500,3/4/51,1.68,A,3,4,51,03/04/1951
USGS,1303500,3/5/51,1.61,A,3,5,51,03/05/1951
USGS,1303500,3/6/51,1.39,A,3,6,51,03/06/1951
USGS,1303500,3/7/51,1.26,A,3,7,51,03/07/1951
USGS,1303500,3/8/51,1.26,A,3,8,51,03/08/1951
USGS,1303500,3/9/51,1.23,A,3,9,51,03/09/1951
USGS,1303500,3/10/51,1.12,A,3,10,51,03/10/1951
USGS,1303500,3/11/51,1.08,A,3,11,51,03/11/1951
USGS,1303500,3/12/51,1.18,A,3,12,51,03/12/1951
USGS,1303500,3/13/51,1.2,A,3,13,51,03/13/1951
USGS,1303500,3/14/51,1.78,A,3,14,51,03/14/1951
USGS,1303500,3/15/51,1.68,A,3,15,51,03/15/1951
USGS,1303500,3/16/51,1.44,A,3,16,51,03/16/1951
USGS,1303500,3/17/51,1.32,A,3,17,51,03/17/1951
USGS,1303500,3/18/51,1.21,A,3,18,51,03/18/1951
USGS,1303500,3/19/51,1.18,A,3,19,51,03/19/1951
USGS,1303500,3/20/51,2.69,A,3,20,51,03/20/1951
USGS,1303500,3/21/51,2.12,A,3,21,51,03/21/1951
USGS,1303500,3/22/51,1.61,A,3,22,51,03/22/1951
USGS,1303500,3/23/51,1.38,A,3,23,51,03/23/1951
USGS,1303500,3/24/51,1.34,A,3,24,51,03/24/1951
USGS,1303500,3/25/51,1.3,A,3,25,51,03/25/1951
USGS,1303500,3/26/51,1.21,A,3,26,51,03/26/1951
USGS,1303500,3/27/51,1.17,A,3,27,51,03/27/1951
USGS,1303500,3/28/51,1.11,A,3,28,51,03/28/1951
USGS,1303500,3/29/51,1.16,A,3,29,51,03/29/1951
USGS,1303500,3/30/51,2.33,A,3,30,51,03/30/1951
USGS,1303500,3/31/51,4.14,A,3,31,51,03/31/1951
USGS,1303500,4/1/51,2.39,A,4,1,51,04/01/1951
USGS,1303500,4/2/51,1.72,A,4,2,51,04/02/1951
USGS,1303500,4/3/51,2.7,A,4,3,51,04/03/1951
