"BARCODE","GRID","DATE","PROJCODE","FIELDSTA","HABCLASS","RM","SUB","ZONE15","EUTM15","NUTM15","EMTCZONE","EUTMEMTC","NUTMEMTC","FLDZONE","EFIELD","NFIELD","PDOP","DEPTH","NOCONT","REPA","REPB","REPC","SUMCODE","GEAR","LAB","SUBSAMPL","SUBANDFL","SUBSTRAT","SHELLS","DETRITUS","FINEORG","SUBMERSE","FLOATING","EMERGENT","OPEN","MAYFLIES","FNC","CORBICUL","MIDGES","ZEBRA","DRAGON","STONE","CADDIS","FLIES","MUSSELS","WORMS","SHRIMP","SCUDS","SNAILS","COMMENTS","RCDCODE","ENT_OPTR","VRF_OPTR","BATCH"
"21001269","65","06/05/2001","M-","1","BWC","754.5","N","15","583380","4910108","15","583380","4910108","15","","","1.0","0.7","0","","","","1","P","N","","0","5","1","0","N","0","0","0","4","0","0","0","0","0","A","A","A","A","A","P","A","A","A","GRAVEL ALSO PRESENT 6MM-1.5CM","955","203","335","2101"
"21001270","66","06/05/2001","M-","1","BWC","754.3","N","15","583680","4909808","15","583680","4909808","15","","","0.9","0.6","0","","","","1","P","N","","0","5","0","0","N","1","0","1","4","0","0","0","0","0","A","A","A","A","A","A","A","A","A","","955","203","335","2101"
"21001271","81","06/05/2001","M-","1","MCB","755.3","N","15","583430","4911458","15","583430","4911458","15","","","1.1","3.7","0","","","","1","P","N","","0","5","0","0","N","0","0","0","4","0","0","0","0","0","A","A","A","A","A","A","A","A","A","","955","203","335","2101"
"21001272","82","06/05/2001","M-","1","SC","756.0","N","15","583380","4912558","15","583380","4912558","15","","","1.4","3.4","0","","","","1","P","N","","0","5","0","0","N","0","0","0","4","0","0","0","0","0","A","A","A","A","A","A","A","A","A","","955","203","335","2101"
"21001273","83","06/05/2001","M-","1","SC","753.3","N","15","585280","4908908","15","585280","4908908","15","","","1.0","5.0","0","","","","1","P","N","","0","5","0","0","N","0","0","0","4","0","0","0","0","0","A","A","A","A","A","A","A","A","A","","955","203","335","2101"
"21001274","84","06/05/2001","M-","1","BWC","753.4","N","15","583930","4908808","15","583930","4908808","15","","","0.9","3.5","0","","","","1","P","N","","0","2","0","1","N","0","0","0","4","17","4","0","1","0","A","A","A","A","P","A","A","P","A","","955","203","335","2101"
"21001275","360","06/05/2001","M-","1","BWC","754.3","N","15","584630","4910408","15","584630","4910408","15","","","1.3","0.6","0","","","","1","P","N","","0","5","0","0","N","0","0","0","4","1","0","0","0","0","A","A","A","A","A","A","A","A","A","360 ALT FOR 85","955","203","335","2101"
"21001276","378","06/05/2001","M-","1","MCB","753.8","N","15","585080","4909758","15","585080","4909758","15","","","1.2","4.0","","","","","1","P","N","","0","6","0","0","N","0","0","0","3","0","0","0","0","0","A","A","A","A","A","A","A","A","A","378 ALT FOR 77 CLOSE TO ISLAND","955","203","335","2101"
"21001277","504","06/05/2001","M-","1","BWC","753.4","N","15","583989","4908736","15","583989","4908736","15","","","1.1","3.5","0","","","","1","P","N","","0","2","1","1","N","0","0","0","4","14","4","0","5","0","A","A","A","A","A","P","A","A","A","","955","203","335","2101"
"21001565","65","05/06/2002","M-","1","TDL","781.6","N","15","551029","4935908","15","551029","4935908","","","","1.1","2.0","","","","","1","P","N","","0","5","1","1","N","0","0","0","4","0","0","0","0","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001567","67","05/06/2002","M-","1","TDL","780.8","N","15","553029","4934308","15","553029","4934308","","","","1.3","1.7","","","","","1","P","N","","0","4","0","0","N","0","0","0","4","0","4","0","1","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001568","68","05/06/2002","M-","1","TDL","784.6","","15","546029","4933908","15","546029","4933908","","","","","1.7","","","","","1","P","N","","0","2","2","1","N","0","0","0","4","5","0","0","0","0","A","A","A","P","A","A","A","A","A","","955","","","2201"
"21001569","69","05/06/2002","M-","1","TDL","780.3","N","15","553229","4933708","15","553229","4933708","","","","0.9","3.3","1","","","","1","P","Y","","0","2","0","3","N","0","0","0","4","3","4","0","7","0","A","A","A","P","A","P","A","A","A","","955","","","2201"
"21001570","70","05/06/2002","M-","1","TDL","780","N","15","554229","4933708","15","554229","4933708","","","","1.1","2.0","","","","","1","P","N","","0","4","0","0","N","0","0","0","4","0","0","0","0","0","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001584","84","05/06/2002","M-","1","TDL","783.2","N","15","548029","4934708","15","548029","4934708","","","","","4.6","","","","","1","P","N","","0","2","1","1","N","0","0","0","4","67","16","0","1","0","A","A","A","P","P","A","A","A","A","","955","","","2201"
"21001585","85","05/06/2002","M-","1","TDL","781.5","N","15","551229","4934308","15","551229","4934308","","","","1.0","6.2","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","10","11","0","4","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001586","86","05/06/2002","M-","1","TDL","783","N","15","548629","4934108","15","548629","4934108","","","","","5.5","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","30","6","0","1","0","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001587","87","05/06/2002","M-","1","TDL","782","N","15","550229","4934108","15","550229","4934108","","","","1.0","6.1","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","26","9","0","0","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001588","88","05/06/2002","M-","1","TDL","780.9","N","15","552029","4933508","15","552029","4933508","","","","0.8","6.8","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","14","9","0","11","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001589","89","05/06/2002","M-","1","TDL","782","N","15","550229","4933108","15","550229","4933108","","","","","6.8","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","31","10","0","2","0","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001590","90","05/06/2002","M-","1","TDL","780.5","N","15","552829","4933108","15","552829","4933108","","","","0.9","2.3","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","18","12","0","1","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001591","91","05/06/2002","M-","1","TDL","779.7","N","15","555029","4932908","15","555029","4932908","","","","1.0","5.9","","","","","1","P","N","","0","2","0","1","N","0","0","0","4","2","4","0","12","0","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001592","92","05/06/2002","M-","1","TDL","778.7","N","15","554829","4930908","15","554829","4930908","","","","1.1","7.5","","","","","1","P","N","","0","2","1","0","N","0","0","0","4","11","12","0","2","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001593","93","05/06/2002","M-","1","TDL","777.7","N","15","555829","4929508","15","555829","4929508","","","","1.2","8.4","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","5","12","0","18","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001594","94","05/06/2002","M-","1","TDL","777","N","15","556229","4928508","15","556229","4928508","","","","0.9","8.6","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","5","3","0","15","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001595","95","05/06/2002","M-","1","TDL","775.5","N","15","556629","4926308","15","556629","4926308","","","","0.9","9.0","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","3","5","0","0","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
