OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,USGS-020850391920,"NANCY RHODES CR ABV ROCKY SPRINGS RD AT DURHAM, NC",Stream,,03020201,,,,,36.03994444000000,-78.9778333000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,465,feet,10,feet,Interpolated from topographic map.,NGVD29,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-020850391940,"NANCY RHODES CREEK ABV FERRAND DRIVE AT DURHAM, NC",Stream,,03020201,,,,,36.04313889000000,-78.9746111000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,450,feet,10,feet,Interpolated from topographic map.,NGVD29,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-020850391960,"NANCY RHODES CR TRIB ADJ FERRAND DR AT DURHAM, NC",Stream,,03020201,0.07,sq mi,,,36.04175000000000,-78.9742222000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,445,feet,10,feet,Interpolated from topographic map.,NGVD29,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208503920,"NANCY RHODES CR ABOVE COLE MILL ROAD NR DURHAM, NC",Stream,,03020201,0.35,sq mi,,,36.04791667000000,-78.9702778000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,424,feet,10,feet,Interpolated from topographic map.,NGVD29,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208503945,"SEVENMILE CK TRIB AT INVERNESS DRIVE NR DURHAM, NC",Stream,,03020201,0.133,sq mi,,,36.08352778000000,-78.9673056000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,486,feet,10,feet,Interpolated from topographic map.,NGVD29,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208503990,"ENO RIVER TRIB BL CLOVER HILL PLACE NR DURHAM, NC",Stream,,03020201,0.098,sq mi,,,36.07347220000000,-78.9516111000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,424,feet,10,feet,Interpolated from topographic map.,NGVD29,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208505878,"CROOKED CREEK TRIB ABOVE GREENBAY DR NR DURHAM, NC",Stream,,03020201,0.53,sq mi,,,36.09544444000000,-78.9233333000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,405,feet,10,feet,Interpolated from topographic map.,NGVD29,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208505880,"CROOKED CR TRIBUTARY AT GREENBAY DR NR DURHAM, NC",Stream,,03020201,0.592,sq mi,,,36.09527778000000,-78.9232778000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,421,feet,10,feet,Interpolated from topographic map.,NGVD29,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02085064,"BLACK MEADOW RUN ABOVE VALLEY DRIVE AT DURHAM, NC",Stream,,03020201,0.31,sq mi,,,36.05797220000000,-78.9103333000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,365,feet,10,feet,Interpolated from topographic map.,NGVD29,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02085066,"BLACK MEADOW RUN ABOVE ARGONNE DRIVE AT DURHAM, NC",Stream,,03020201,0.36,sq mi,,,36.06030556000000,-78.9100278000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,360,feet,10,feet,Interpolated from topographic map.,NGVD29,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02085067,"BLACK MEADOW RUN AT ARGONNE DRIVE NEAR DURHAM, NC",Stream,,03020201,0.313,sq mi,,,36.06291667000000,-78.9102222000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,371,feet,10,feet,Interpolated from topographic map.,NGVD29,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02085070,"ENO RIVER NEAR DURHAM, NC",Stream,,03020201,141,sq mi,,,36.07222220000000,-78.9077778000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,269.92,feet,.01,feet,Level or other surveyed method.,NAVD88,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02085079,"ENO RIVER NEAR WEAVER, NC",Stream,,03020201,148.00,sq mi,,,36.07208829000000,-78.8627848000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208521324,"LITTLE RIVER AT SR1461 NEAR ORANGE FACTORY, NC",Stream,,03020201,78.2,sq mi,,,36.14166667000000,-78.9191667000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,382.69,feet,.01,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02085220,"LITTLE RIVER NEAR ORANGE FACTORY, NC",Stream,,03020201,80.40,sq mi,,,36.13903160000000,-78.9063966900000,,1,seconds,Interpolated from MAP.,NAD83,333.98,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208524088,"MOUNTAIN CR AT SR1616 NR BAHAMA, NC",Stream,,03020201,7.35,sq mi,,,36.15222220000000,-78.9025000000000,,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208524090,"MOUNTAIN CREEK AT SR1617 NR BAHAMA, NC",Stream,,03020201,7.97,sq mi,,,36.14972220000000,-78.8966667000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,360.02,feet,.01,feet,Level or other surveyed method.,NAVD88,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208524170,"LITTLE RIVER TRIB NR DURHAM, NC",Stream,,03020201,1.025,sq mi,,,36.11264326000000,-78.8830629000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208524845,"LITTLE RIVER RESERVOIR AT DAM NEAR BAHAMA, NC","Lake, Reservoir, Impoundment",,03020201,97.7,sq mi,,,36.11500000000000,-78.8691667000000,,1,seconds,Reported.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208524850,"LITTLE RIVER BELOW DAM NR FAIRNTOSH, NC",Stream,,03020201,97.767,sq mi,,,36.11208790000000,-78.8686181900000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208524930,"LITTLE R TRIB 0.3 MILE AB MOUTH AT FAIRNTOSH, NC",Stream,,03020201,,,,,36.11653249000000,-78.8575068000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208524950,"LITTLE RIVER TRIB AT FAIRNTOSH, NC",Stream,,03020201,0.86,sq mi,,,36.11444444000000,-78.8583333000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208524975,"LITTLE R BL LITTLE R TRIB AT FAIRNTOSH, NC",Stream,,03020201,98.9,sq mi,,,36.11333330000000,-78.8597222000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,263.6,feet,.05,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208525095,"CABIN BRANCH TRIB AT PARAGON CIRCLE NR DURHAM, NC",Stream,,03020201,0.109,sq mi,,,36.10241667000000,-78.8857222000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,343.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208525105,"CABIN BRANCH ABOVE MOUTH NR FAIRNTOSH, NC",Stream,,03020201,3.451,sq mi,,,36.09208810000000,-78.8655626000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02085262,"LITTLE RIVER NR WEAVER, NC",Stream,,03020201,104,sq mi,,,36.08236608000000,-78.8566736000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208527100,"ENO RIVER TRIB AT SR1004 NR FAIRNTOSH, NC",Stream,,03020201,0.566,sq mi,,,36.08819955000000,-78.8447289000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208527550,"ENO RIVER TRIB NR FAIRNTOSH, NC",Stream,,03020201,0.398,sq mi,,,36.09319968000000,-78.8330620000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02085284,"ENO RIVER NR WILLARDVILLE, NC",Stream,,03020201,259,sq mi,,,36.09208870000000,-78.8238951000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208528420,"ENO RIVER TRIB ABOVE MOUTH NR COZART, NC",Stream,,03020201,0.076,sq mi,,,36.09486646000000,-78.8250062000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02085477,"FLAT RIVER NR QUAIL ROOST, NC",Stream,,03020201,140,sq mi,,,36.20014259000000,-78.8863962000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02085500,"FLAT RIVER AT BAHAMA, NC",Stream,,03020201,149,sq mi,,,36.18277778000000,-78.8788888900000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,346.85,feet,.01,feet,Reported method of determination.,NGVD29,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208590000,"LAKE MICHIE AT BAHAMA, NC","Lake, Reservoir, Impoundment",,03020201,151,sq mi,,,36.17347646000000,-78.8619513000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086000,"DIAL CREEK NEAR BAHAMA, NC",Stream,,03020201,4.73,sq mi,,,36.17680984000000,-78.8563955800000,,1,seconds,Interpolated from MAP.,NAD83,357.67,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208610150,"LAKE MICHIE BL HOLLY GROVE CAMPGRND NR BAHAMA, NC","Lake, Reservoir, Impoundment",,03020201,153.00,sq mi,,,36.15958780000000,-78.8516733000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208629180,"LAKE MICHIE AB POWER PLANT NR BAHAMA, NC","Lake, Reservoir, Impoundment",,03020201,157.000,sq mi,,,36.15958780000000,-78.8516733000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086300,"ROCKY CREEK NEAR BAHAMA, NC",Stream,,03020201,2.40,sq mi,,,36.17514367000000,-78.8219504000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086490,"LAKE MICHIE AT DAM NR BAHAMA, NC","Lake, Reservoir, Impoundment",,03020201,167,sq mi,,,36.15083330000000,-78.8300000000000,,1,seconds,Reported.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086500,"FLAT RIVER AT DAM NEAR BAHAMA, NC",Stream,,03020201,168,sq mi,,,36.14861110000000,-78.8288888900000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,255.7,feet,.5,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208650112,"FLAT RIVER TRIB NR WILLARDVILLE, NC",Stream,,03020201,1.14,sq mi,,,36.13194444000000,-78.8333333000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,270,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208651170,"FLAT R TRIB AB MTH NR WILLARDVILLE, NC",Stream,,03020201,0.595,sq mi,,,36.12542169000000,-78.8316730000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208675009,"ELLERBE CREEK AT WEST MURRAY AVENUE AT DURHAM, NC",Stream,,03020201,5.05,sq mi,,,36.02881110000000,-78.9022638900000,,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208675010,"ELLERBE CREEK AT CLUB BOULEVARD AT DURHAM, NC",Stream,,03020201,6.01,sq mi,,,36.01938889000000,-78.8947778000000,,1,seconds,Interpolated from Digital MAP.,NAD83,294.8,feet,.06,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086770,"ELLERBE CREEK AT SR1709 NR DURHAM, NC",Stream,,03020201,9.94,sq mi,,,36.02181076000000,-78.8705629000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208682450,"ELLERBE CR BELOW SECONDARY RD 1669 NR WEAVER, NC",Stream,,03020201,17.3,sq mi,17.3,sq mi,36.02983330000000,-78.8636944000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086833,"ELLERBE CREEK 0.33 MI BELOW SR1669 NR WEAVER, NC",Stream,,03020201,17.4,sq mi,,,36.03205556000000,-78.8620556000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086835,"ELLERBE CREEK 0.59 MI BELOW SR1669 NR WEAVER, NC",Stream,,03020201,17.4,sq mi,,,36.03572220000000,-78.8604167000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086837,"ELLERBE CREEK 0.71 MI BELOW SR1669 NR WEAVER, NC",Stream,,03020201,18.0,sq mi,,,36.03725000000000,-78.8596388900000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086839,"ELLERBE CREEK 0.89 MI BELOW SR1669 NR WEAVER, NC",Stream,,03020201,18.0,sq mi,,,36.03961110000000,-78.8581667000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086841,"ELLERBE CREEK AT WEAVER, NC",Stream,,03020201,19.5,sq mi,,,36.04319444000000,-78.8562778000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086843,"ELLERBE CREEK 1.28 MI BELOW SR1669 NR WEAVER, NC",Stream,,03020201,19.5,sq mi,,,36.04469444000000,-78.8553611000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086845,"ELLERBE CREEK 1.39 MI BELOW SR 1669 NR WEAVER, NC",Stream,,03020201,19.5,sq mi,,,36.04625000000000,-78.8545000000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086849,"ELLERBE CREEK NEAR GORMAN, NC",Stream,,03020201,21.9,sq mi,,,36.05931106000000,-78.8325065000000,,1,seconds,Interpolated from MAP.,NAD83,252.81,feet,.05,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,37,063,,,,,,,,,NWIS
